,,,,,,,,,,,,,
,,,,,,,,,Stop 1,,,,
Today,14/03/2024,,,,,, ,,24.27%,"51,500,000","50,000","12,500,000",
Season,Truck owner, , ,Week,Pick up date,District,Status, ,Arrival time at Stop 1,# of farmers,Sector,Site,Volume 1 in kgs
2023A,IZ Service,,,20-Feb,2/23/2023,Gatsibo,#REF!,,10:52,15,Remera,Rurenge,"10,464"
2023A,IZ Service,,,20-Feb,2/23/2023,Gatsibo,#REF!,,10:37,8,Rugarama,Ishema,"10,499"
2023A,IZ Service,,,20-Feb,2/23/2023,Rwamagana,#REF!,,09:26,4,Munyiginya,Nkomangwa,"11,506"
2023A,IZ Service,,,20-Feb,2/23/2023,Ngoma,#REF!,,14:30,12,Gashanda,Nyagatugunda,"9,842"
2023A,IZ Service,,,20-Feb,2/23/2023,Ngoma,#REF!,,10:25,10,Gashanda,Nyagasozi,"10,012"
2023A,IZ Service,,,20-Feb,2/24/2023,Nyagatare,#REF!,,11:32,3,Katabagemu,Rubira,"10,127"
2023A,IZ Service,,,20-Feb,2/24/2023,Nyagatare,#REF!,,13:50,3,Katabagemu,Rubira,"10,100"
2023A,IZ Service,,,20-Feb,2/24/2023,Gatsibo,#REF!,,09:00,4,Kabarore,Malimba,"10,387"
2023A,IZ Service,,,20-Feb,2/24/2023,Kayonza,#REF!,,09:50,8,Rwinkwavu,Kageyo,"5,239"
2023A,IZ Service,,,20-Feb,2/24/2023,Ngoma,#REF!,,02:20,13,Gashanda,Muyange,"9,842"
2023A,IZ Service,,,20-Feb,2/25/2023,Nyagatare,#REF!,,16:10,3,Katabagemu,Rubira,"10,220"
2023A,IZ Service,,,20-Feb,2/25/2023,Nyagatare,#REF!,,04:10,3,Katabagemu,Rubira,"10,220"
2023A,IZ Service,,,20-Feb,2/25/2023,Gatsibo,#REF!,,17:00,15,Remera,Rurenge,"8,461"
2023A,IZ Service,,,27-Feb,2/27/2023,Ngoma,#REF!,,10:00,8,Zaza,Nyagasozi,"10,064"
2023A,IZ Service,,,27-Feb,2/27/2023,Ngoma,#REF!,,15:00,15,Zaza,Nyagatugunda,"11,141"
2023A,IZ Service,,,27-Feb,2/27/2023,Ngoma,#REF!,,10:10,5,Kazo,Birenga,"4,522"
2023A,IZ Service,,,27-Feb,2/27/2023,Rwamagana,#REF!,,09:50,7,Munyiginya,Munyiginya,"6,464"
2023A,IZ Service,,,27-Feb,2/27/2023,Kayonza,#REF!,,11:20 AM,6,Gahini,Urugarama,"12,526"
2023A,IZ Service,,,27-Feb,2/27/2023,Kayonza,#REF!,,10:00,4,Nyamirama,Kabuya1,"2,213"
2023A,IZ Service,,,27-Feb,2/28/2023,Kayonza,#REF!,,09:31,7,Rwinkwavu,Matinza,"7,575"
2023A,IZ Service,,,27-Feb,2/28/2023,Ngoma,#REF!,,08:30,4,Zaza,Nyagasozi,"10,187"
2023A,IZ Service,,,27-Feb,3/1/2023,Ngoma,#REF!,,12:30,10,Zaza,Nyagatugunda,"8,439"
2023A,IZ Service,,,27-Feb,3/1/2023,Ngoma,#REF!,,11:00,9,Remera,Ndekwe,"6,434"
2023A,IZ Service,,,27-Feb,3/1/2023,Ngoma,#REF!,,13:20,9,Murama,Sakara,"8,309"
2023A,IZ Service,,,27-Feb,3/1/2023,Kayonza,#REF!,,10:50,16,Murundi,Ryamanyoni,"10,241"
2023A,IZ Service,,,27-Feb,3/2/2023,Ngoma,#REF!,,12:30,4,Karembo,Akaziba,"7,849"
2023A,IZ Service,,,27-Feb,3/2/2023,Kayonza,#REF!,,11:11,6,Rwinkwavu,Gihinga,"10,516"
2023A,IZ Service,,,27-Feb,3/2/2023,Kayonza,#REF!,,10:30,2,Murama,Muko,"10,184"
2023A,IZ Service,,,27-Feb,3/3/2023,Ngoma,#REF!,,14:40,6,Gashanda,Muyange,"10,854"
2023A,IZ Service,,,27-Feb,3/3/2023,Ngoma,#REF!,,09:00,6,Zaza,Nyagatugunda,"10,836"
2023A,IZ Service,,,27-Feb,3/3/2023,Rwamagana,#REF!,,11:30,13,Munyaga,Kaduha,"10,106"
2023A,IZ Service,,,27-Feb,3/3/2023,Kayonza,#REF!,,08:30,10,Rwinkwavu,Gihinga,"9,433"
2023A,IZ Service,,,27-Feb,3/3/2023,Kayonza,#REF!,,08:50,1,Nyamirama,Gikaya,"5,739"
2023A,IZ Service,,,27-Feb,3/3/2023,Gatsibo,#REF!,,09:30,15,Remera,Muyange,"6,787"
2023A,IZ Service,,,27-Feb,3/4/2023,Ngoma,#REF!,,10:07,6,Karembo,Nyamirambo,"10,336"
2023A,IZ Service,,,27-Feb,3/4/2023,Ngoma,#REF!,,10:40,1,Gashanda,Cyerwa,"10,592"
2023A,IZ Service,,,27-Feb,3/4/2023,Ngoma,#REF!,,14:20,3,Gashanda,Cyerwa,"10,672"
2023A,IZ Service,,,27-Feb,3/4/2023,Ngoma,#REF!,,12:00,14,Zaza,Nyagatugunda,"9,473"
2023A,IZ Service,,,27-Feb,3/4/2023,Kayonza,#REF!,,09:03,9,Rwinkwavu,Gihinga,"9,579"
2023A,IZ Service,,,27-Feb,3/5/2023,Ngoma,#REF!,,08:30,6,Gashanda,Cyerwa,"10,110"
2023A,IZ Service,,,27-Feb,3/5/2023,Ngoma,#REF!,,12:40,6,Gashanda,Munege,"10,197"
2023A,IZ Service,,,27-Feb,3/5/2023,Nyagatare,#REF!,,11:40,6,Mimuli,Mahoro,"10,863"
2023A,Internal,,,27-Feb,3/5/2023,Kayonza,#REF!,,11:00,4,Nyamirama,Nyamirama,"13,219"
2023A,IZ Service,,,6-Mar,3/6/2023,Ngoma,#REF!,,06:20,6,Gashanda,Nyagasenga,"11,487"
2023A,IZ Service,,,6-Mar,3/6/2023,Ngoma,#REF!,,11:30,1,Gashanda,Mutsindo,"12,082"
2023A,IZ Service,,,6-Mar,3/6/2023,Ngoma,#REF!,,17:30,7,Gashanda,Agatare,"10,092"
2023A,IZ Service,,,6-Mar,3/6/2023,Ngoma,#REF!,,11:40,9,Zaza,Nyagatugunda,"10,290"
2023A,IZ Service,,,6-Mar,3/6/2023,Ngoma,#REF!,,09:00,6,Karembo,Nyamirambo,"9,013"
2023A,IZ Service,,,6-Mar,3/6/2023,Ngoma,#REF!,,10:10,6,Rukira,Nyinya,"3,687"
2023A,IZ Service,,,6-Mar,3/6/2023,Gatsibo,#REF!,,12:40,2,Kabarore,Kabarore,"5,105"
